sg_data_point,time,pressure,depth,temperature,conductivity,salinity,sigma_theta,density,latitude,longitude,buoyancy,speed,glide_angle,horz_speed,vert_speed,polar_heading
262,2023-05-12 19:56:55.915000064,65.26365779456393,64.70750835089866,8.729921373190699,3.193000644728496,29.78600199235182,23.083775001789945,1023.0828431079826,47.72272676963254,-122.39778729796883,215.86700046634243,32.97999992266587,18.72838866235976,31.23375198417323,10.58929326679525,1.813397092822109
263,2023-05-12 19:57:05.915000064,64.09607847559886,63.550058622049264,8.748269556748175,3.1920565897943103,29.762025069747608,23.062324202353807,1023.0614071683843,47.72276097681933,-122.39779407827298,214.95530095445503,32.83475363760337,18.645833602208643,31.111354484058534,10.497841140413522,1.8081611050661257
264,2023-05-12 19:57:15.915000064,63.04928322411295,62.5123395012943,8.756056206310456,3.1914598961194547,29.750196215040457,23.051918635776815,1023.0510159007491,47.72279511332914,-122.39780086960364,214.58517987069467,32.80410621835243,18.6519535715243,31.081195214192043,10.491362582726527,1.8151424220741028
265,2023-05-12 19:57:25.915000064,61.83137721036491,61.30498658767639,8.757416210703315,3.191110994521389,29.74579005511425,23.048255177236797,1023.0473698882627,47.72282921778795,-122.39780776118198,214.64128406862505,32.80216133066461,18.660811654046746,31.077730206041156,10.495545398094643,1.813397092822109
266,2023-05-12 19:57:35.915000064,60.683928569313046,60.16747401362355,8.761563755426097,3.1909622455329596,29.74089356468606,23.04380279159102,1023.0429335778246,47.72286327264518,-122.39781474609259,214.64201414318393,32.71664627950951,18.597346035169934,31.008287158460288,10.43384259403075,1.820378409830086
267,2023-05-12 19:57:45.915000064,59.52641458930459,59.019976846447754,8.774406612106343,3.190414530340591,29.72606757288985,23.03031271814757,1023.0294588699768,47.72289727353261,-122.39782152576016,214.20548434887587,32.56779667240288,18.48000355396851,30.888416676689197,10.323133986450275,1.8046704465621373
268,2023-05-12 19:57:55.915000064,58.42929264303571,57.93234315111496,8.774539223539625,3.1905639391005756,29.727438830440303,23.031350504567513,1023.0305123985257,47.72293137243746,-122.39782763467755,214.49883670323393,32.693752255432265,18.586079925021817,30.988638166689192,10.420448220378825,1.787217154042194
269,2023-05-12 19:58:11.988000000,56.506812902326,56.026475657782605,8.775860731445748,3.1904639762082074,29.725689695155758,23.02976144845195,1023.0289508984694,47.72297679395536,-122.39783192159494,214.88667192628773,33.51708240839499,19.266426356427424,31.63994015125451,11.059339962048996,1.6859880574265227
270,2023-05-12 19:58:21.989000192,55.22851485483841,54.75921361486434,8.776675458756529,3.190264851893518,29.723205386034,23.027680373290195,1023.0268881876812,47.72302297608966,-122.39783150496447,215.05853068757355,33.924638926490964,19.60690488781701,31.9575872546566,11.383924769331351,1.5585790220309366
271,2023-05-12 19:58:36.989000192,53.39662316473807,52.94312360489216,8.791077412906043,3.190213767403147,29.71196876371447,23.01676008535867,1023.0159928484902,47.7230671649737,-122.39782115064963,214.89407515814105,33.83754704236687,19.55698184768129,31.885426709476302,11.326921620590745,1.3753194505715318
